日報作成マクロ,,,,,,,,,,,,,
,,,,,,,,,,,,,
日付,2020/10/15,,,,,,,,,,,,
作成者,森川 寛也,,,,,,,,,,,,
TO,codemouse83@gmail.com,,,,,,,,,,,,
CC,mori5050golf@gmail.com,,,,,,,,,,,,
BCC,mori5050golf@gmail.com,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
予定表,,,,,明日の予定,,,,,タスク一覧,,タスク一覧,
開始時間,終了時間,予定,実績,,開始時間,終了時間,予定,,,タスク１,,タスク１,
9:00,9:15,タスク整理,予定通り,,9:00,9:15,タスク整理,,,タスク２,,,サブタスク１
9:15,9:45,朝会,予定通り,,9:15,9:45,朝会,,,タスク３,,,サブタスク２
9:45,11:00,タスク１,予定通り,,9:45,11:00,タスク１,,,,,,サブタスク３
11:00,12:00,タスク２,予定通り,,11:00,12:00,タスク２,,,,,タスク２,
13:00,14:30,タスク３,予定通り,,13:00,14:30,タスク３,,,,,,サブタスク１
14:30,16:00,タスク４,予定通り,,14:30,16:00,タスク４,,,,,,サブタスク２
16:00,17:10,タスク５,予定通り,,16:00,17:10,タスク５,,,,,タスク３,
17:10,18:10,タスク６,予定通り,,17:10,18:10,タスク６,,,,,,サブタスク１
18:10,18:30,タスク整理・日報作成,予定通り,,18:10,18:30,タスク整理・日報作成,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
所感,,,,,,,,,,,,,
1,本日はこんなことを学んだ。それは同校でこういうことは繰り返していきたい。,,,,,,,,,,,,
2,また、最近時間を守れないことが顕在化し始めてしまった。,,,,,,,,,,,,
3,この原因はーーであると思われるので、その点はしっかりと今後治していく,,,,,,,,,,,,
4,まず手始めとして、・・・で行われている・・・についてはしっかりと傾向と対策を立てて取り組んでいきたいと思う,,,,,,,,,,,,
5,それはそうと・・はとても面白いものであるのでぜひこれから実践していきたい。,,,,,,,,,,,,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
